iter	Passed	Remaining
412	3056	4344
413	3064	4337
414	3069	4327
415	3076	4319
416	3082	4309
417	3088	4300
418	3094	4290
419	3101	4282
420	3107	4273
421	3113	4264
422	3119	4255
423	3125	4246
424	3131	4237
425	3137	4227
426	3143	4218
427	3149	4208
428	3156	4200
429	3162	4191
430	3169	4183
431	3174	4174
432	3181	4166
433	3187	4157
434	3194	4148
435	3200	4140
436	3206	4131
437	3213	4122
438	3218	4113
439	3225	4104
440	3231	4095
441	3237	4087
442	3243	4078
443	3250	4070
444	3256	4061
445	3262	4052
446	3268	4043
447	3273	4034
448	3281	4026
449	3287	4018
450	3294	4010
451	3300	4001
452	3307	3993
453	3313	3984
454	3319	3976
455	3326	3968
456	3333	3960
457	3339	3951
458	3346	3944
459	3354	3938
460	3364	3933
461	3373	3928
462	3382	3922
463	3390	3916
464	3397	3909
465	3405	3902
466	3412	3894
467	3419	3886
468	3425	3878
469	3433	3872
470	3440	3864
471	3448	3857
472	3455	3849
473	3462	3842
474	3470	3836
475	3478	3829
476	3488	3824
477	3495	3817
478	3502	3809
479	3509	3801
480	3515	3793
481	3524	3787
482	3533	3781
483	3541	3775
484	3550	3770
485	3558	3763
486	3564	3754
487	3570	3746
488	3578	3739
489	3584	3730
490	3590	3722
491	3597	3714
492	3603	3706
493	3611	3699
494	3620	3693
495	3628	3687
496	3636	3680
497	3645	3674
498	3652	3667
499	3660	3660
500	3667	3653
501	3675	3646
502	3683	3639
503	3689	3630
504	3697	3623
505	3704	3616
506	3709	3607
507	3715	3598
508	3723	3591
509	3728	3582
510	3734	3574
511	3740	3565
512	3747	3557
513	3753	3548
514	3759	3540
515	3765	3531
516	3772	3523
517	3777	3515
518	3784	3507
519	3790	3498
520	3796	3490
521	3802	3482
522	3808	3473
523	3814	3465
524	3819	3456
525	3826	3448
526	3831	3439
527	3838	3430
528	3843	3422
529	3849	3413
530	3857	3406
531	3868	3403
532	3878	3398
533	3896	3400
534	3904	3393
535	3911	3386
536	3919	3379
537	3927	3372
538	3935	3365
539	3944	3360
540	3954	3355
541	3966	3351
542	3973	3344
543	3982	3338
544	3992	3333
545	4003	3328
546	4011	3322
547	4021	3316
548	4029	3310
549	4037	3303
550	4047	3297
551	4057	3292
552	4065	3286
553	4074	3280
554	4082	3273
555	4091	3267
556	4098	3259
557	4104	3250
558	4110	3242
559	4116	3234
560	4124	3227
561	4129	3218
562	4136	3210
563	4141	3201
564	4148	3194
565	4154	3185
566	4161	3178
567	4167	3169
568	4173	3161
569	4179	3153
570	4186	3145
571	4193	3137
572	4199	3129
573	4205	3121
574	4211	3112
575	4218	3105
576	4224	3097
577	4230	3089
578	4236	3080
579	4243	3072
580	4249	3064
581	4256	3057
582	4264	3050
583	4272	3043
584	4279	3036
585	4286	3028
586	4294	3021
587	4304	3016
588	4314	3010
589	4323	3004
590	4333	2998
591	4342	2992
592	4353	2987
593	4361	2981
594	4369	2974
595	4376	2966
596	4384	2959
597	4391	2952
598	4400	2945
599	4410	2940
600	4419	2934
601	4428	2927
602	4434	2919
603	4442	2912
604	4448	2904
605	4455	2896
606	4460	2888
607	4468	2880
608	4474	2872
609	4481	2865
610	4487	2856
611	4494	2849
612	4500	2841
613	4507	2833
614	4513	2825
615	4519	2817
616	4525	2809
617	4532	2801
618	4538	2793
619	4544	2785
620	4550	2777
621	4556	2769
622	4565	2762
623	4575	2757
624	4582	2749
625	4591	2742
626	4598	2735
627	4605	2728
628	4612	2720
629	4621	2714
630	4628	2706
631	4635	2699
632	4642	2691
633	4651	2685
634	4659	2678
635	4666	2671
636	4675	2664
637	4682	2656
638	4691	2650
639	4698	2642
640	4706	2635
641	4712	2627
642	4719	2620
643	4724	2611
644	4730	2603
645	4735	2595
646	4741	2586
647	4747	2578
648	4753	2570
649	4760	2563
650	4765	2554
651	4773	2548
652	4781	2540
653	4787	2532
654	4793	2524
655	4802	2518
656	4809	2511
657	4818	2504
658	4826	2497
659	4835	2490
660	4842	2483
661	4851	2477
662	4862	2471
663	4870	2464
664	4878	2457
665	4886	2450
666	4892	2442
667	4898	2434
668	4904	2426
669	4912	2419
670	4917	2411
671	4923	2403
672	4929	2395
673	4935	2387
674	4941	2379
675	4947	2371
676	4952	2363
677	4958	2354
678	4964	2347
679	4971	2339
680	4976	2331
681	4984	2324
682	4990	2316
683	4997	2308
684	5003	2300
685	5011	2293
686	5019	2286
687	5027	2279
688	5035	2272
689	5043	2265
690	5051	2258
691	5058	2251
692	5067	2244
693	5074	2237
694	5081	2230
695	5105	2229
696	5113	2222
697	5124	2216
698	5130	2209
699	5140	2202
700	5149	2196
701	5158	2189
702	5167	2183
703	5176	2176
704	5184	2169
705	5193	2162
706	5201	2155
707	5209	2148
708	5217	2141
709	5225	2134
710	5232	2127
711	5239	2119
712	5245	2111
713	5251	2103
714	5258	2095
715	5263	2087
716	5270	2080
717	5276	2072
718	5282	2064
719	5288	2056
720	5293	2048
721	5300	2040
722	5306	2033
723	5313	2025
724	5318	2017
725	5325	2009
726	5331	2001
727	5337	1994
728	5343	1986
729	5348	1978
730	5355	1970
731	5364	1963
732	5371	1956
733	5378	1949
734	5385	1941
735	5394	1934
736	5401	1927
737	5409	1920
738	5416	1913
739	5425	1906
740	5432	1898
741	5438	1890
742	5445	1883
743	5450	1875
744	5456	1867
745	5461	1859
746	5467	1851
747	5474	1844
748	5481	1837
749	5489	1829
750	5495	1821
751	5501	1814
752	5507	1806
753	5514	1799
754	5520	1791
755	5527	1784
756	5535	1776
757	5540	1768
758	5546	1761
759	5552	1753
760	5557	1745
761	5563	1737
762	5569	1730
763	5575	1722
764	5582	1714
765	5588	1707
766	5593	1699
767	5598	1691
768	5604	1683
769	5610	1675
770	5616	1668
771	5624	1661
772	5633	1654
773	5640	1646
774	5649	1640
775	5656	1632
776	5664	1625
777	5671	1618
778	5679	1611
779	5687	1604
780	5697	1597
781	5706	1590
782	5714	1583
783	5724	1577
784	5731	1569
785	5738	1562
786	5745	1555
787	5753	1547
788	5761	1540
789	5769	1533
790	5778	1526
791	5785	1519
792	5793	1512
793	5802	1505
794	5810	1498
795	5818	1491
